epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9248738884925842,0.20651143789291382,0.9501261115074158,0.9001858234405518,0.9840595126152039,0.06240912154316902,0.9850587248802185,0.9808714389801025
1,0.9899123907089233,0.03741917386651039,0.9906890392303467,0.9885850548744202,0.9893730282783508,0.0439317412674427,0.9904255270957947,0.9893730282783508
2,0.9885850548744202,0.04012778773903847,0.9888476133346558,0.9885850548744202,0.994686484336853,0.017867522314190865,0.994686484336853,0.994686484336853
3,0.9938943386077881,0.020858285948634148,0.9941582679748535,0.9938943386077881,0.9957491755485535,0.017156247049570084,0.9957491755485535,0.9957491755485535
4,0.9970799088478088,0.01225851010531187,0.9970799088478088,0.9970799088478088,0.9968119263648987,0.01156304869800806,0.9968119263648987,0.9968119263648987
5,0.9952216744422913,0.014190194196999073,0.9957503080368042,0.9952216744422913,0.9957491755485535,0.016703994944691658,0.9957491755485535,0.9957491755485535
6,0.9936288595199585,0.03132336214184761,0.9936271905899048,0.9933634400367737,0.9957491755485535,0.019131140783429146,0.9957491755485535,0.9957491755485535
7,0.9957525730133057,0.014132725074887276,0.9957503080368042,0.9952216744422913,1.0,0.00020807779219467193,1.0,1.0
8,0.9981417655944824,0.006979721132665873,0.9981417655944824,0.9981417655944824,1.0,0.00029531019390560687,1.0,1.0
9,0.9973453879356384,0.008719678036868572,0.9976102113723755,0.9973453879356384,1.0,0.00034661273821257055,1.0,1.0
10,0.9986726641654968,0.007728838361799717,0.9986723065376282,0.998407244682312,0.9978746175765991,0.009527538903057575,0.9978746175765991,0.9978746175765991
